ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
2132606,Samarai,-10.6167,150.6667,27.32,76,53,4.48,PG,2021-04-30 01:56:05
1507390,Dikson,73.5069,80.5464,-13.81,94,73,3.65,RU,2021-04-30 02:04:54
4034551,Faanui,-16.4833,-151.75,27.57,70,100,1.85,PF,2021-04-30 01:56:54
2028164,Deputatsky,69.3,139.9,-5.28,91,99,2.03,RU,2021-04-30 02:04:55
167357,Manbij,36.5281,37.9549,15.0,63,0,3.37,SY,2021-04-30 02:04:55
2960021,Vianden,49.935,6.2089,0.05,91,63,1.16,LU,2021-04-30 02:04:56
1283217,Khanbari,27.3747,87.2039,26.32,28,51,0.65,NP,2021-04-30 02:04:56
1283334,Birin,26.8865,88.0718,23.49,35,5,1.33,NP,2021-04-30 02:04:57
596238,Palanga,55.9175,21.0686,7.0,93,90,4.63,LT,2021-04-30 02:04:57
2163355,Hobart,-42.8794,147.3294,17.36,67,20,4.63,AU,2021-04-30 02:04:57
3418910,Upernavik,72.7868,-56.1549,-4.88,63,100,1.9,GL,2021-04-30 02:04:58
2656847,Atherton,53.5237,-2.4935,3.77,81,64,0.45,GB,2021-04-30 02:04:58
4020109,Atuona,-9.8,-139.0333,26.3,69,13,1.98,PF,2021-04-30 02:04:59
2381334,Atar,20.5169,-13.0499,25.78,35,99,2.0,MR,2021-04-30 01:50:28
3359638,Walvis Bay,-22.9575,14.5053,10.0,87,0,3.09,NA,2021-04-30 02:04:59
546105,Nikolskoye,59.7035,30.7861,-1.27,74,0,2.0,RU,2021-04-30 02:05:00
286245,Sur,22.5667,59.5289,29.68,49,100,1.19,OM,2021-04-30 01:55:23
1582886,Kwang Binh,17.4833,106.6,24.95,79,100,1.32,VN,2021-04-30 02:05:00
4035715,Avarua,-21.2078,-159.775,29.0,79,40,4.12,CK,2021-04-30 02:05:01
3405215,Bonfim,3.0833,-59.95,26.53,73,61,1.33,BR,2021-04-30 01:51:38
3347019,Mossamedes,-15.1961,12.1522,23.37,75,81,1.64,AO,2021-04-30 02:05:01
100926,Umluj,25.0213,37.2685,29.18,40,6,3.92,SA,2021-04-30 02:05:02
197745,Garissa,-0.4536,39.6401,25.6,76,95,5.5,KE,2021-04-30 02:05:02
6170031,Tuktoyaktuk,69.4541,-133.0374,-2.0,74,1,6.17,CA,2021-04-30 01:55:29
4031637,Lavrentiya,65.5833,-171.0,-2.26,70,35,2.17,RU,2021-04-30 02:05:03
2122104,Petropavlovsk-Kamchatskiy,53.0452,158.6483,9.0,61,49,4.0,RU,2021-04-30 02:05:03
2194098,Ahipara,-35.1667,173.1667,18.54,63,10,3.21,NZ,2021-04-30 02:05:04
1529651,Altay,47.8667,88.1167,19.08,38,11,1.69,CN,2021-04-30 02:05:04
2629833,Husavik,66.0449,-17.3389,2.0,87,90,1.54,IS,2021-04-30 01:57:27
1015776,Bredasdorp,-34.5322,20.0403,9.0,93,5,2.57,ZA,2021-04-30 02:05:05
2136825,Isangel,-19.55,169.2667,26.0,83,75,3.6,VU,2021-04-30 02:05:05
2127202,Anadyr,64.75,177.4833,-4.25,80,0,5.0,RU,2021-04-30 02:04:45
703494,Kuybysheve,47.358,36.6491,7.22,94,17,3.2,UA,2021-04-30 02:05:06
2181625,Te Anau,-45.4167,167.7167,14.91,64,4,1.24,NZ,2021-04-30 02:05:06
726384,Topolovgrad,42.0833,26.3333,10.0,87,1,2.06,BG,2021-04-30 02:05:07
237379,Ndélé,8.4109,20.6473,24.6,70,100,2.01,CF,2021-04-30 02:05:07
1280957,Jiayuguan City,39.8167,98.3,20.93,12,8,2.5,CN,2021-04-30 02:05:08
5321473,Winslow,35.0242,-110.6974,22.0,13,1,3.09,US,2021-04-30 02:05:08
2121025,Srednekolymsk,67.45,153.6833,-0.67,95,100,2.55,RU,2021-04-30 02:05:09
3664078,Humaitá,-7.5061,-63.0208,23.08,97,100,1.18,BR,2021-04-30 02:05:09
2128975,Nemuro,43.3236,145.575,4.0,100,75,7.72,JP,2021-04-30 01:54:33
1106677,Bambous Virieux,-20.3428,57.7575,24.21,83,75,3.6,MU,2021-04-30 02:05:10
2398929,Mbigou,-1.9005,11.906,19.97,98,100,0.64,GA,2021-04-30 02:05:10
2644122,Llandrindod Wells,52.2416,-3.3787,-0.08,95,88,1.56,GB,2021-04-30 02:05:10
303830,Nevşehir,38.9167,34.6667,18.0,45,75,1.54,TR,2021-04-30 02:05:11
3466980,Caravelas,-17.7125,-39.2481,24.81,70,100,4.95,BR,2021-04-30 02:05:11
3354071,Oranjemund,-28.55,16.4333,12.34,89,1,4.96,NA,2021-04-30 02:05:12
2450173,Taoudenni,22.6783,-3.9836,30.1,26,78,9.75,ML,2021-04-30 02:05:12
